투자금액비중,보유,Ticker,설명,,yahoo,google,현재가격,적정가격,"25년 
적정 EPS","25년 
적정 PER",Fwd PER,적정 PER,목표값-최대,목표값-평균,목표값-중앙,목표값-분석가 의견합 ,구매가,투자금액,평가금액,수익,수익률,상승여력,비중,"
주간가격변화차트",,,,
0.00%,0,AAPL,Apple Inc.,AAPL,,NASDAQ:,$307.34,253.17,6.29,,,,,$252.73,,,$209.87,$0.00,$0.00,$0.00,#DIV/0!,-17.77%,0.00%,,,,,
0.00%,0,NVDA,NVIDIA Corporation,NVDA,,NASDAQ:,$205.10,,2.94,,,,,$240.00,,,$222.14,$0.00,$0.00,$0.00,#DIV/0!,17.02%,0.00%,,,,,
0.00%,0,GOOGL,GOOGL,GOOGL,,NASDAQ:,368.53,,,,,,,31.00,,,$333.06,$0.00,$0.00,$0.00,#DIV/0!,-91.59%,0.00%,,,,,
0.00%,0,AMZN,amazon,AMZN,,NASDAQ:,$246.03,,,,,,,$316.01,,,$264.18,$0.00,$0.00,$0.00,#DIV/0!,28.44%,0.00%,,,,,
0.00%,0,TSLA,"Tesla, Inc.",TSLA,,NASDAQ:,$391.00,,2.04,,,,,$411.33,,,$379.26,$0.00,$0.00,$0.00,#DIV/0!,5.20%,0.00%,,,,,
0.00%,0,AVGO,Broadcom Inc.,AVGO,,NASDAQ:,$385.73,,,,,,,$475.00,,,$422.34,$0.00,$0.00,$0.00,#DIV/0!,23.14%,0.00%,,,,,
0.00%,0,WMT,WALMART,WMT,,NYSE:,#N/A,,,,,,,110.00,,,,,#N/A,#N/A,,,0.00%,,,,,
,5.5,JPM,JP Morgan Chase & Co.,JPM,,NYSE:,$312.37,,19.75,NASDAQ:AMZN,,,,$342.96,,,$287.93,"$1,583.62","$1,718.04",$134.42,8.49%,9.79%,5.90%,,,,,
0.00%,0,ORCL,Oracle Corporation,ORCL,,NYSE:,213.68,,,,,,,198.34,,,,,$0.00,$0.00,,,0.00%,,,,,
0.00%,0,NFLX,"Netflix, Inc.",NFLX,,NASDAQ:,82.18,,,,,,,980.56,,,,,$0.00,$0.00,,,0.00%,,,,,
0.00%,0,PLTR,Palantir Technologies Inc.,PLTR,,NASDAQ:,$135.53,,0.19,,,,,$190.89,,,$137.90,$0.00,$0.00,$0.00,#DIV/0!,40.85%,0.00%,,,,,
0.00%,0,005930.ks,삼성전자보통주,005930,.ks,KRX:,329000,"72,200.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,#DIV/0!,-100.00%,0.00%,,,,,
4.47%,5,000660.ks,에스케이하이닉스보통주,000660,.ks,KRX:,"2,070,000.00",,,#VALUE!,Deprecated. Use =FINANCE instead,,Deprecated. Use =FINANCE instead,"2,246,000.00",,,"374,321.00","1,871,605.00","10,350,000.00","8,478,395.00",453.00%,8.50%,4.47%,,,,,
21.60%,9.629,MU,마아크론테크놀리지,MU,,NASDAQ:,$864.01,,,,,,,"$1,000.00",,,$602.42,"$5,800.70","$8,319.55","$2,518.85",43.42%,15.74%,21.60%,,,,,
0.00%,0,DELL,델컴퓨터,DELL,,NYSE:,394.39,,,,,,,143.22,,,,$0.00,0,0.00,#DIV/0!,-63.69%,0.00%,,,,,
0.00%,0,VRT,버티브홀딩스,VRT,,NYSE:,$300.51,,,,,,,$414.00,,,$330.87,$0.00,$0.00,$0.00,#DIV/0!,37.77%,0.00%,,,,,
0.00%,0,VST,Vistra Corp.,VST,,NYSE:,148.76,,,,,,,192.20,,,,,0,0.00,,,0.00%,,,,,
,0,373220.ks,LG에너지솔루션보통주,373220,.ks,KRX:,414000,"433,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
,0,AXON,"Axon Enterprise, Inc.",AXON,,NASDAQ:,486.12,,,,,,,679.69,,,,,0,0.00,,,0.00%,,,,,
,0,CPNG,"Coupang, Inc.",CPNG,,,15.15,,,,,,,29.85,,,,,0,0.00,,,0.00%,,,,,
,0,XYL,Xylem Inc.,XYL,,NYSE:,109.94,,,,,,,150.00,,,,,0,0.00,,,0.00%,,,,,
0.00%,0,035420.ks,NAVER보통주,035420,.ks,KRX:,"255,500.00","283,000.00",8.43,,,,,"274,500.00",,,"216,500.00",0.00,0,$0.00,#DIV/0!,7.44%,0.00%,,,,,
,0,NTRS,Northern Trust Corporation,NTRS,,NASDAQ:,170.47,,,,,,,118.79,,,,,0,0.00,,,0.00%,,,,,
,0,105560.ks,KB금융지주 보통주,105560,.ks,KRX:,171600,"114,900.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
,0,WIZEY,WISE PLC,WIZEY,,,#N/A,14.24,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,#N/A,#N/A,,,0.00%,,,,,
,0,PODD,Insulet Corporation,PODD,,NASDAQ:,153.22,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,323.60,,,,,0,0.00,,,0.00%,,,,,
,0,329180.ks,에이치디현대중공업보통주,329180,.ks,KRX:,664000,"344,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
,0,COHR,Coherent Corp.,COHR,,,376.99,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
,0,AIBGY,AIB Group PLC,AIBGY,,,23.09,,Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,0.00%,,,,,
19.02%,43,RKLB,"Rocket Lab USA, Inc.",RKLB,,,$110.08,,-0.38,,,,,$150.00,,,$118.81,"$5,108.83","$4,733.44",-$375.39,-7.35%,36.26%,19.02%,,,,,
0.00%,0,035720.ks,카카오보통주,035720,.ks,KRX:,"40,250.00","46,700.00",0.06,,,,,"48,200",,,"47,350",,,,#DIV/0!,19.75%,0.00%,,,,,
,0,012450.ks,한화에어로스페이스보통주,012450,.ks,KRX:,1049000,"485,000.00",Deprecated. Use =FINANCE instead,#VALUE!,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,Deprecated. Use =FINANCE instead,,,,,,0,0.00,,,,,,,,
